Case,Comparison,Signal,MaxAbsoluteDifference,ReferencePeakAbsolute,Limit,Pass,PeakAbsoluteDifference,RMSDifference
nominal,native_0.25_to_0.125ns,loadCurrent_A,9.34364230431584e-09,2.98096419015807,0.0298096419015807,1,1.55431223447522e-14,1.92657509917563e-09
nominal,native_0.25_to_0.125ns,feedCurrent_A,4.20073062115112e-05,2.98096484591429,0.0298096484591429,1,8.66419824774312e-10,1.72527438067743e-05
nominal,spice_0.25_to_0.125ns,switch_V,0.0086861853374387,24.2206831239843,0.242206831239843,1,0.000196294193148816,9.69327637310602e-05
nominal,spice_0.25_to_0.125ns,bus_V,6.70143293248771e-05,24.0175686084087,0.240175686084087,1,6.10274497603314e-10,1.89504613787281e-06
nominal,spice_0.25_to_0.125ns,highVgs_V,0.000693850046200595,11.9999966975649,0.119999966975649,1,9.46087652664573e-12,5.86086771794322e-06
nominal,spice_0.25_to_0.125ns,lowVgs_V,0.00189639846654854,11.9999869793099,0.119999869793099,1,1.25162102904142e-11,2.3208198060422e-05
nominal,spice_0.25_to_0.125ns,highVds_V,0.00867756021330912,24.9783352138349,0.249783352138349,1,8.63043940562136e-05,9.69184457189032e-05
nominal,spice_0.25_to_0.125ns,lowVds_V,0.00868618533744758,24.2206831240085,0.242206831240085,1,0.000196294193148816,9.69327637311565e-05
nominal,spice_0.25_to_0.125ns,highCurrent_A,0.00680571075277037,8.24585370034613,0.0824585370034613,1,0.00103384629470504,0.000170358858204132
nominal,spice_0.25_to_0.125ns,lowCurrent_A,0.00680571711778644,5.28211037864085,0.0528211037864085,1,0.00103319636753163,0.000170358948609204
nominal,spice_0.25_to_0.125ns,highGateCurrent_A,2.77540017556421e-05,0.398134915908976,0.01,1,9.77720211903232e-07,2.34434708168569e-07
nominal,spice_0.25_to_0.125ns,lowGateCurrent_A,7.58559386637575e-05,0.42832336748998,0.01,1,9.37945334011925e-07,9.28327922439111e-07
nominal,spice_0.25_to_0.125ns,loadCurrent_A,6.15361672728909e-09,2.98096419017023,0.0298096419017023,1,1.06941122623994e-11,2.26416429462415e-09
nominal,spice_0.25_to_0.125ns,feedCurrent_A,2.94671483083153e-05,2.98096484620725,0.0298096484620725,1,7.22618853643553e-10,1.2106089802114e-05
nominal,native_to_original_spice_0.125ns,switch_V,0.00319468783075549,24.2206831239843,0.242206831239843,1,0.000201266430892133,2.74276755729674e-05
